scale,neutral,image1,image2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,trial.started,consent.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,NEP.started,text.started,text_2.started,slider.started,NEP.stopped,slider.response,slider.rt,social_neutral.started,text_3.started,text_4.started,slider_2.started,social_neutral.stopped,slider_2.response,slider_2.rt,env_instr.started,text_5.started,key_resp_2.started,env_instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,env_choice.started,A.started,B.started,key_resp_3.started,env_choice.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
"Despite our special abilities, humans are still subject to the laws of nature.",,,,0,9,9,8,,,,,,,,,76.4098536,,,,,,,,,76.3840004,76.4098536,76.4098536,76.4098536,83.3865088,4,6.9791326,,,,,,,,,,,,,,,,,,,,,,,05_TEST,1,2024-11-22_15h55.23.560,control_priming_exp,2024.1.5,None,2024-11-22 15h55.39.765003 +0530
Humans have the right to modify the natural environment to suit their needs.,,,,0,10,10,1,,,,,,,,,83.4117083,,,,,,,,,83.3868894,83.4117083,83.4117083,83.4117083,87.6382404,2,4.2263656,,,,,,,,,,,,,,,,,,,,,,,05_TEST,1,2024-11-22_15h55.23.560,control_priming_exp,2024.1.5,None,2024-11-22 15h55.39.765003 +0530
Plants and animals have as much right as humans to exist.,,,,0,11,11,6,,,,,,,,,87.6647419,,,,,,,,,87.6384973,87.6647419,87.6647419,87.6647419,92.8505792,4,5.1893571,,,,,,,,,,,,,,,,,,,,,,,05_TEST,1,2024-11-22_15h55.23.560,control_priming_exp,2024.1.5,None,2024-11-22 15h55.39.765003 +0530
The balance of nature is very delicate and easily upset.,,,,0,12,12,12,,,,,,,,,92.8754539,,,,,,,,,92.8510323,92.8754539,92.8754539,92.8754539,110.7245567,2,17.8495675,,,,,,,,,,,,,,,,,,,,,,,05_TEST,1,2024-11-22_15h55.23.560,control_priming_exp,2024.1.5,None,2024-11-22 15h55.39.765003 +0530
Human ingenuity will insure that we do not make the Earth unlivable.,,,,0,13,13,3,,,,,,,,,110.7531917,,,,,,,,,110.7250887,110.7531917,110.7531917,110.7531917,118.6150524,4,7.8628027,,,,,,,,,,,,,,,,,,,,,,,05_TEST,1,2024-11-22_15h55.23.560,control_priming_exp,2024.1.5,None,2024-11-22 15h55.39.765003 +0530
The balance of nature is strong enough to cope with the impacts of modern industrial nations.,,,,0,14,14,7,,,,,,,,,118.6424696,,,,,,,,,118.6154013,118.6424696,118.6424696,118.6424696,122.7455436,2,4.1044263,,,,,,,,,,,,,,,,,,,,,,,05_TEST,1,2024-11-22_15h55.23.560,control_priming_exp,2024.1.5,None,2024-11-22 15h55.39.765003 +0530
," Global Food Crisis: Several regions are facing food shortages and rising food prices due to factors like climate change, conflicts, and supply chain disruptions.??",,,,,,,0,0,0,4,,,,,122.7812627,,,,,,,,,,,,,,,,122.7490782,122.7812627,122.7812627,122.7812627,127.7981298,1,5.0152326,,,,,,,,,,,,,,,,05_TEST,1,2024-11-22_15h55.23.560,control_priming_exp,2024.1.5,None,2024-11-22 15h55.39.765003 +0530
,"India's Chandrayaan-3 Mission: India successfully landed its spacecraft on the Moon's south pole, making it the fourth country to achieve this feat.",,,,,,,0,1,1,2,,,,,127.8228805,,,,,,,,,,,,,,,,127.7985316,127.8228805,127.8228805,127.8228805,132.8669647,1,5.0410942,,,,,,,,,,,,,,,,05_TEST,1,2024-11-22_15h55.23.560,control_priming_exp,2024.1.5,None,2024-11-22 15h55.39.765003 +0530
,"Rise of Renewable Energy: Many countries are investing heavily in renewable energy sources like solar, wind, and hydro power to reduce reliance on fossil fuels and combat climate change.",,,,,,,0,2,2,1,,,,,132.8943486,,,,,,,,,,,,,,,,132.8673615,132.8943486,132.8943486,132.8943486,138.7351636,1,5.8382129,,,,,,,,,,,,,,,,05_TEST,1,2024-11-22_15h55.23.560,control_priming_exp,2024.1.5,None,2024-11-22 15h55.39.765003 +0530
,Global Economic Slowdown: Concerns are growing about a potential global economic slowdown as major economies like the US and China face economic challenges.,,,,,,,0,3,3,3,,,,,138.7636204,,,,,,,,,,,,,,,,138.7355106,138.7636204,138.7636204,138.7636204,144.1377035,1,5.3698866,,,,,,,,,,,,,,,,05_TEST,1,2024-11-22_15h55.23.560,control_priming_exp,2024.1.5,None,2024-11-22 15h55.39.765003 +0530
,"Ukraine-Russia War: The ongoing conflict between Russia and Ukraine continues to impact global geopolitics, energy markets, and food security.",,,,,,,0,4,4,0,,,,,144.1611548,,,,,,,,,,,,,,,,144.1379581,144.1611548,144.1611548,144.1611548,146.2555317,1,2.0922279,,,,,,,,,,,,,,,,05_TEST,1,2024-11-22_15h55.23.560,control_priming_exp,2024.1.5,None,2024-11-22 15h55.39.765003 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.2558093,146.2685863,146.2685863,151.9071576,space,5.6359141,None,,,,,,,,,05_TEST,1,2024-11-22_15h55.23.560,control_priming_exp,2024.1.5,None,2024-11-22 15h55.39.765003 +0530
,,images/A_apple.png,images/B_Apple.png,,,,,,,,,0,0,0,0,152.0045601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.9124662,152.0045601,152.0045601,152.0045601,174.1488677,right,22.1304843,None,05_TEST,1,2024-11-22_15h55.23.560,control_priming_exp,2024.1.5,None,2024-11-22 15h55.39.765003 +0530
,,images/A_bottle.png,images/B_bottle.png,,,,,,,,,0,1,1,1,174.1928953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.1501195,174.1928953,174.1928953,174.1928953,179.9170057,left,5.7179494,None,05_TEST,1,2024-11-22_15h55.23.560,control_priming_exp,2024.1.5,None,2024-11-22 15h55.39.765003 +0530
,,images/A_cloth.png,images/B_cloth.png,,,,,,,,,0,2,2,2,179.9657262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.9175426,179.9657262,179.9657262,179.9657262,186.4531396,right,6.4761427,None,05_TEST,1,2024-11-22_15h55.23.560,control_priming_exp,2024.1.5,None,2024-11-22 15h55.39.765003 +0530
,,images/A_detergent.png,images/B_detergent.png,,,,,,,,,0,3,3,3,186.495222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.4539776,186.495222,186.495222,186.495222,191.7886479,left,5.2787847,None,05_TEST,1,2024-11-22_15h55.23.560,control_priming_exp,2024.1.5,None,2024-11-22 15h55.39.765003 +0530
,,images/A_facewash.png,images/B_facewash.png,,,,,,,,,0,4,4,4,191.8311672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.789679,191.8311672,191.8311672,191.8311672,192.7054898,right,0.8630689,None,05_TEST,1,2024-11-22_15h55.23.560,control_priming_exp,2024.1.5,None,2024-11-22 15h55.39.765003 +0530
,,images/A_Light_Bulb.png,images/B_Light_Bulb.png,,,,,,,,,0,5,5,5,192.7472112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.7062115,192.7472112,192.7472112,192.7472112,194.5393064,right,1.7803013,None,05_TEST,1,2024-11-22_15h55.23.560,control_priming_exp,2024.1.5,None,2024-11-22 15h55.39.765003 +0530
,,images/A_shopping.png,images/B_shopping.png,,,,,,,,,0,6,6,6,194.5776913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.5399848,194.5776913,194.5776913,194.5776913,196.7912421,right,2.2095458,None,05_TEST,1,2024-11-22_15h55.23.560,control_priming_exp,2024.1.5,None,2024-11-22 15h55.39.765003 +0530
,,images/A_toothpaste.png,images/B_toothpaste.png,,,,,,,,,0,7,7,7,196.8325583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.7921233,196.8325583,196.8325583,196.8325583,200.4585757,right,3.6098808,None,05_TEST,1,2024-11-22_15h55.23.560,control_priming_exp,2024.1.5,None,2024-11-22 15h55.39.765003 +0530
,,images/A_transport.png,images/B_transport.png,,,,,,,,,0,8,8,8,200.5080437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.4594189,200.5080437,200.5080437,200.5080437,201.6255219,right,1.1157717,None,05_TEST,1,2024-11-22_15h55.23.560,control_priming_exp,2024.1.5,None,2024-11-22 15h55.39.765003 +0530
