scale,env,image1,image2,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,trial.started,text.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,NEP_scale.started,text_2.started,question.started,slider.started,NEP_scale.stopped,slider.response,slider.rt,env_prime.started,text_3.started,text_4.started,slider_2.started,env_prime.stopped,slider_2.response,slider_2.rt,env_decision_inst.started,text_5.started,key_resp_2.started,env_decision_inst.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,desicion.started,OptionA.started,optionB.started,key_resp_3.started,desicion.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,"Sea Turtles: Sea turtles often mistake plastic bags for jellyfish, their primary food source. Ingesting plastic can cause intestinal blockages, leading to starvation and death.",,,,,,,0,3,3,4,,,,,138.16690629999994,,,,,,,,,,,,,,,,138.12560669999993,138.16690629999994,138.16690629999994,138.16690629999994,146.03940420000004,0.0,7.878189199999952,,,,,,,,,,,,,,,,TESTtn,001,2024-11-22_17h55.55.244,environmental_priming,2024.1.5,None,2024-11-22 17h56.12.137914 +0530,
,"Pesticide Residue in Food: Pesticide residues in food can pose health risks to consumers, especially when consumed over long periods.",,,,,,,0,4,4,2,,,,,146.06370689999994,,,,,,,,,,,,,,,,146.03967439999997,146.06370689999994,146.06370689999994,146.06370689999994,150.59905660000004,0.0,4.525824499999999,,,,,,,,,,,,,,,,TESTtn,001,2024-11-22_17h55.55.244,environmental_priming,2024.1.5,None,2024-11-22 17h56.12.137914 +0530,
,"There have been 223 heat wave events over the Indian subcontinent in the past few decades (1978-1999), causing approximately 5,500 death. India experienced about 24 days of heat waves in different parts of the country in 2024, its longest spell.",,,,,,,0,5,5,0,,,,,150.65143590000002,,,,,,,,,,,,,,,,150.59964330000003,150.65143590000002,150.65143590000002,150.65143590000002,158.23896969999987,0.0,7.587313699999868,,,,,,,,,,,,,,,,TESTtn,001,2024-11-22_17h55.55.244,environmental_priming,2024.1.5,None,2024-11-22 17h56.12.137914 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.23914620000005,158.25169290000008,158.25169290000008,182.58028839999997,space,24.3147320999999,None,,,,,,,,,TESTtn,001,2024-11-22_17h55.55.244,environmental_priming,2024.1.5,None,2024-11-22 17h56.12.137914 +0530,
,,images/A_apple.png,images/B_Apple.png,,,,,,,,,0,0,0,0,182.8079820999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.58851779999986,182.8079820999999,182.8079820999999,182.8079820999999,188.79979129999992,right,5.980864200000042,None,TESTtn,001,2024-11-22_17h55.55.244,environmental_priming,2024.1.5,None,2024-11-22 17h56.12.137914 +0530,
,,images/A_bottle.png,images/B_bottle.png,,,,,,,,,0,1,1,1,188.91092379999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.80101489999993,188.91092379999986,188.91092379999986,188.91092379999986,191.26758339999992,right,2.34392129999992,None,TESTtn,001,2024-11-22_17h55.55.244,environmental_priming,2024.1.5,None,2024-11-22 17h56.12.137914 +0530,
,,images/A_cloth.png,images/B_cloth.png,,,,,,,,,0,2,2,2,191.35893570000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.26854980000007,191.35893570000007,191.35893570000007,191.35893570000007,196.6362775,left,5.272208099999943,None,TESTtn,001,2024-11-22_17h55.55.244,environmental_priming,2024.1.5,None,2024-11-22 17h56.12.137914 +0530,
,,images/A_detergent.png,images/B_detergent.png,,,,,,,,,0,3,3,3,196.73997830000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.6372033,196.73997830000008,196.73997830000008,196.73997830000008,204.68923459999996,left,7.9380696999999145,None,TESTtn,001,2024-11-22_17h55.55.244,environmental_priming,2024.1.5,None,2024-11-22 17h56.12.137914 +0530,
,,images/A_facewash.png,images/B_facewash.png,,,,,,,,,0,4,4,4,204.79172489999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.69023119999997,204.79172489999996,204.79172489999996,204.79172489999996,208.30772359999992,left,3.509719700000005,None,TESTtn,001,2024-11-22_17h55.55.244,environmental_priming,2024.1.5,None,2024-11-22 17h56.12.137914 +0530,
,,images/A_Light_Bulb.png,images/B_Light_Bulb.png,,,,,,,,,0,5,5,5,208.4145082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.30869230000008,208.4145082,208.4145082,208.4145082,215.09363110000004,left,6.675814399999808,None,TESTtn,001,2024-11-22_17h55.55.244,environmental_priming,2024.1.5,None,2024-11-22 17h56.12.137914 +0530,
,,images/A_shopping.png,images/B_shopping.png,,,,,,,,,0,6,6,6,215.19640809999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.09463619999997,215.19640809999987,215.19640809999987,215.19640809999987,217.72814429999994,left,2.5186085000000276,None,TESTtn,001,2024-11-22_17h55.55.244,environmental_priming,2024.1.5,None,2024-11-22 17h56.12.137914 +0530,
,,images/A_toothpaste.png,images/B_toothpaste.png,,,,,,,,,0,7,7,7,217.81429460000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.72919150000007,217.81429460000004,217.81429460000004,217.81429460000004,223.37825769999995,right,5.555609000000004,None,TESTtn,001,2024-11-22_17h55.55.244,environmental_priming,2024.1.5,None,2024-11-22 17h56.12.137914 +0530,
,,images/A_transport.png,images/B_transport.png,,,,,,,,,0,8,8,8,223.45881899999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.37883409999995,223.45881899999995,223.45881899999995,223.45881899999995,228.19895739999993,left,4.736666399999876,None,TESTtn,001,2024-11-22_17h55.55.244,environmental_priming,2024.1.5,None,2024-11-22 17h56.12.137914 +0530,
