scale,env,image1,image2,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,trial.started,text.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,NEP_scale.started,text_2.started,question.started,slider.started,NEP_scale.stopped,slider.response,slider.rt,env_prime.started,text_3.started,text_4.started,slider_2.started,env_prime.stopped,slider_2.response,slider_2.rt,env_decision_inst.started,text_5.started,key_resp_2.started,env_decision_inst.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,desicion.started,OptionA.started,optionB.started,key_resp_3.started,desicion.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
The balance of nature is very delicate and easily upset.,,,,0,12,12,12,,,,,,,,,94.72216720000142,,,,,,,,,94.6982369000034,94.72216720000142,94.72216720000142,94.72216720000142,100.06668170000194,2.0,5.345906300004572,,,,,,,,,,,,,,,,,,,,,,,919158eya,001,2024-11-22_12h55.58.002,environmental_priming,2024.1.5,None,2024-11-22 12h56.09.292023 +0530,
Humans will eventually learn enough about how nature works to be able to control it.,,,,0,13,13,13,,,,,,,,,100.08957360000204,,,,,,,,,100.06693239999731,100.08957360000204,100.08957360000204,100.08957360000204,103.90173360000335,2.0,3.8118814999979804,,,,,,,,,,,,,,,,,,,,,,,919158eya,001,2024-11-22_12h55.58.002,environmental_priming,2024.1.5,None,2024-11-22 12h56.09.292023 +0530,
"If things continue on their present course, we will soon experience a major ecological catastrophe.",,,,0,14,14,14,,,,,,,,,103.92535420000058,,,,,,,,,103.90199140000186,103.92535420000058,103.92535420000058,103.92535420000058,108.67033179999999,5.0,4.7444241999983205,,,,,,,,,,,,,,,,,,,,,,,919158eya,001,2024-11-22_12h55.58.002,environmental_priming,2024.1.5,None,2024-11-22 12h56.09.292023 +0530,
,"Pesticide Residue in Food: Pesticide residues in food can pose health risks to consumers, especially when consumed over long periods.",,,,,,,0,0,0,2,,,,,108.69992300000013,,,,,,,,,,,,,,,,108.67364480000106,108.69992300000013,108.69992300000013,108.69992300000013,115.42281430000003,0.0,6.721872900001472,,,,,,,,,,,,,,,,919158eya,001,2024-11-22_12h55.58.002,environmental_priming,2024.1.5,None,2024-11-22 12h56.09.292023 +0530,
,"Large pieces of plastic can entangle and harm marine animals, leading to injuries and death.",,,,,,,0,1,1,3,,,,,115.44315669999924,,,,,,,,,,,,,,,,115.42314620000252,115.44315669999924,115.44315669999924,115.44315669999924,118.77415570000448,0.0,3.327393100000336,,,,,,,,,,,,,,,,919158eya,001,2024-11-22_12h55.58.002,environmental_priming,2024.1.5,None,2024-11-22 12h56.09.292023 +0530,
,"Delhi's air quality continues to deteriorate, with recent spikes reaching hazardous levels. The city is frequently engulfed in toxic smog, leading to severe respiratory issues and other health problems for millions of residents.",,,,,,,0,2,2,5,,,,,118.79770780000399,,,,,,,,,,,,,,,,118.77442390000215,118.79770780000399,118.79770780000399,118.79770780000399,123.30892930000118,0.0,4.507413899998937,,,,,,,,,,,,,,,,919158eya,001,2024-11-22_12h55.58.002,environmental_priming,2024.1.5,None,2024-11-22 12h56.09.292023 +0530,
,"There have been 223 heat wave events over the Indian subcontinent in the past few decades (1978-1999), causing approximately 5,500 death. India experienced about 24 days of heat waves in different parts of the country in 2024, its longest spell.",,,,,,,0,3,3,0,,,,,123.34016559999873,,,,,,,,,,,,,,,,123.30922119999741,123.34016559999873,123.34016559999873,123.34016559999873,151.80385670000396,0.0,28.46044509999774,,,,,,,,,,,,,,,,919158eya,001,2024-11-22_12h55.58.002,environmental_priming,2024.1.5,None,2024-11-22 12h56.09.292023 +0530,
,"Excessive use of pesticides can lead to soil degradation, water pollution, and harm to beneficial insects and other organisms.",,,,,,,0,4,4,1,,,,,151.82405440000002,,,,,,,,,,,,,,,,151.80418179999833,151.82405440000002,151.82405440000002,151.82405440000002,166.6608103000035,0.0,14.833227499999339,,,,,,,,,,,,,,,,919158eya,001,2024-11-22_12h55.58.002,environmental_priming,2024.1.5,None,2024-11-22 12h56.09.292023 +0530,
,"Sea Turtles: Sea turtles often mistake plastic bags for jellyfish, their primary food source. Ingesting plastic can cause intestinal blockages, leading to starvation and death.",,,,,,,0,5,5,4,,,,,166.68551350000052,,,,,,,,,,,,,,,,166.6610761999982,166.68551350000052,166.68551350000052,166.68551350000052,169.64528650000284,0.0,2.9560765999995056,,,,,,,,,,,,,,,,919158eya,001,2024-11-22_12h55.58.002,environmental_priming,2024.1.5,None,2024-11-22 12h56.09.292023 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.64554160000262,169.65735580000182,169.65735580000182,176.3607931000006,space,6.692932199999632,None,,,,,,,,,919158eya,001,2024-11-22_12h55.58.002,environmental_priming,2024.1.5,None,2024-11-22 12h56.09.292023 +0530,
,,images/A_apple.png,images/B_Apple.png,,,,,,,,,0,0,0,0,176.46558399999776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.36342159999913,176.46558399999776,176.46558399999776,176.46558399999776,198.55455580000125,left,22.08368189999601,None,919158eya,001,2024-11-22_12h55.58.002,environmental_priming,2024.1.5,None,2024-11-22 12h56.09.292023 +0530,
,,images/A_bottle.png,images/B_bottle.png,,,,,,,,,0,1,1,1,198.6012413999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.5552977999978,198.6012413999997,198.6012413999997,198.6012413999997,208.04147860000376,right,9.423701499996241,None,919158eya,001,2024-11-22_12h55.58.002,environmental_priming,2024.1.5,None,2024-11-22 12h56.09.292023 +0530,
,,images/A_cloth.png,images/B_cloth.png,,,,,,,,,0,2,2,2,208.0874643999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.04219710000325,208.0874643999996,208.0874643999996,208.0874643999996,235.75250110000343,left,27.6595432000031,None,919158eya,001,2024-11-22_12h55.58.002,environmental_priming,2024.1.5,None,2024-11-22 12h56.09.292023 +0530,
,,images/A_detergent.png,images/B_detergent.png,,,,,,,,,0,3,3,3,235.79658210000343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.75316960000055,235.79658210000343,235.79658210000343,235.79658210000343,244.07220880000386,left,8.264164500003972,None,919158eya,001,2024-11-22_12h55.58.002,environmental_priming,2024.1.5,None,2024-11-22 12h56.09.292023 +0530,
,,images/A_facewash.png,images/B_facewash.png,,,,,,,,,0,4,4,4,244.1122705000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.0727356999996,244.1122705000016,244.1122705000016,244.1122705000016,251.0911860999986,left,6.9772384999960195,None,919158eya,001,2024-11-22_12h55.58.002,environmental_priming,2024.1.5,None,2024-11-22 12h56.09.292023 +0530,
,,images/A_Light_Bulb.png,images/B_Light_Bulb.png,,,,,,,,,0,5,5,5,251.13086029999977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.0915759999989,251.13086029999977,251.13086029999977,251.13086029999977,252.90925900000002,left,1.767106999999669,None,919158eya,001,2024-11-22_12h55.58.002,environmental_priming,2024.1.5,None,2024-11-22 12h56.09.292023 +0530,
,,images/A_shopping.png,images/B_shopping.png,,,,,,,,,0,6,6,6,252.94841850000375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.90987740000128,252.94841850000375,252.94841850000375,252.94841850000375,254.19334920000256,left,1.2403358000010485,None,919158eya,001,2024-11-22_12h55.58.002,environmental_priming,2024.1.5,None,2024-11-22 12h56.09.292023 +0530,
,,images/A_toothpaste.png,images/B_toothpaste.png,,,,,,,,,0,7,7,7,254.23328510000283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.19396190000407,254.23328510000283,254.23328510000283,254.23328510000283,264.0805160000018,right,9.843190199993842,None,919158eya,001,2024-11-22_12h55.58.002,environmental_priming,2024.1.5,None,2024-11-22 12h56.09.292023 +0530,
,,images/A_transport.png,images/B_transport.png,,,,,,,,,0,8,8,8,264.1266876000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.08117330000096,264.1266876000009,264.1266876000009,264.1266876000009,266.31350199999724,left,2.183145000002696,None,919158eya,001,2024-11-22_12h55.58.002,environmental_priming,2024.1.5,None,2024-11-22 12h56.09.292023 +0530,
