scale,env,image1,image2,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,thisRow.t,notes,trial.started,text.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,NEP_scale.started,text_2.started,question.started,slider.started,NEP_scale.stopped,slider.response,slider.rt,env_prime.started,text_3.started,text_4.started,slider_2.started,env_prime.stopped,slider_2.response,slider_2.rt,env_decision_inst.started,text_5.started,key_resp_2.started,env_decision_inst.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,desicion.started,OptionA.started,optionB.started,key_resp_3.started,desicion.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
The so-called 'ecological crisis' facing humankind has been greatly exaggerated.,,,,0,9,9,9,,,,,,,,,72.1955848,,,,,,,,,72.1680653,72.1955848,72.1955848,72.1955848,85.2377024,1,13.0434903,,,,,,,,,,,,,,,,,,,,,,,rvrvrcr,1,2024-11-22_13h13.40.052,environmental_priming,2024.1.5,None,2024-11-22 13h13.52.589029 +0530
The Earth is like a spaceship with very limited room and resources.,,,,0,10,10,10,,,,,,,,,85.2636308,,,,,,,,,85.2380981,85.2636308,85.2636308,85.2636308,90.6042183,3,5.340918,,,,,,,,,,,,,,,,,,,,,,,rvrvrcr,1,2024-11-22_13h13.40.052,environmental_priming,2024.1.5,None,2024-11-22 13h13.52.589029 +0530
Humans were meant to rule over the rest of nature.,,,,0,11,11,11,,,,,,,,,90.6277852,,,,,,,,,90.6044773,90.6277852,90.6277852,90.6277852,92.8726754,1,2.2453206,,,,,,,,,,,,,,,,,,,,,,,rvrvrcr,1,2024-11-22_13h13.40.052,environmental_priming,2024.1.5,None,2024-11-22 13h13.52.589029 +0530
The balance of nature is very delicate and easily upset.,,,,0,12,12,12,,,,,,,,,92.8977388,,,,,,,,,92.8730835,92.8977388,92.8977388,92.8977388,101.9944921,2,9.0959845,,,,,,,,,,,,,,,,,,,,,,,rvrvrcr,1,2024-11-22_13h13.40.052,environmental_priming,2024.1.5,None,2024-11-22 13h13.52.589029 +0530
Humans will eventually learn enough about how nature works to be able to control it.,,,,0,13,13,13,,,,,,,,,102.0195361,,,,,,,,,101.9947492,102.0195361,102.0195361,102.0195361,106.144696,5,4.1261898,,,,,,,,,,,,,,,,,,,,,,,rvrvrcr,1,2024-11-22_13h13.40.052,environmental_priming,2024.1.5,None,2024-11-22 13h13.52.589029 +0530
"If things continue on their present course, we will soon experience a major ecological catastrophe.",,,,0,14,14,14,,,,,,,,,106.1738895,,,,,,,,,106.1452513,106.1738895,106.1738895,106.1738895,110.7939242,5,4.6207572,,,,,,,,,,,,,,,,,,,,,,,rvrvrcr,1,2024-11-22_13h13.40.052,environmental_priming,2024.1.5,None,2024-11-22 13h13.52.589029 +0530
,"There have been 223 heat wave events over the Indian subcontinent in the past few decades (1978-1999), causing approximately 5,500 death. India experienced about 24 days of heat waves in different parts of the country in 2024, its longest spell.",,,,,,,0,0,0,0,,,,,110.82996,,,,,,,,,,,,,,,,110.7971138,110.82996,110.82996,110.82996,120.6984864,0,9.8672011,,,,,,,,,,,,,,,,rvrvrcr,1,2024-11-22_13h13.40.052,environmental_priming,2024.1.5,None,2024-11-22 13h13.52.589029 +0530
,"Pesticide Residue in Food: Pesticide residues in food can pose health risks to consumers, especially when consumed over long periods.",,,,,,,0,1,1,2,,,,,120.7243622,,,,,,,,,,,,,,,,120.6990003,120.7243622,120.7243622,120.7243622,126.3171698,0,5.59057,,,,,,,,,,,,,,,,rvrvrcr,1,2024-11-22_13h13.40.052,environmental_priming,2024.1.5,None,2024-11-22 13h13.52.589029 +0530
,"Large pieces of plastic can entangle and harm marine animals, leading to injuries and death.",,,,,,,0,2,2,3,,,,,126.3392794,,,,,,,,,,,,,,,,126.317427,126.3392794,126.3392794,126.3392794,128.8178669,0,2.4765509,,,,,,,,,,,,,,,,rvrvrcr,1,2024-11-22_13h13.40.052,environmental_priming,2024.1.5,None,2024-11-22 13h13.52.589029 +0530
,"Sea Turtles: Sea turtles often mistake plastic bags for jellyfish, their primary food source. Ingesting plastic can cause intestinal blockages, leading to starvation and death.",,,,,,,0,3,3,4,,,,,128.8410677,,,,,,,,,,,,,,,,128.8181172,128.8410677,128.8410677,128.8410677,130.2683153,0,1.4236769,,,,,,,,,,,,,,,,rvrvrcr,1,2024-11-22_13h13.40.052,environmental_priming,2024.1.5,None,2024-11-22 13h13.52.589029 +0530
,"Excessive use of pesticides can lead to soil degradation, water pollution, and harm to beneficial insects and other organisms.",,,,,,,0,4,4,1,,,,,130.2888606,,,,,,,,,,,,,,,,130.2685746,130.2888606,130.2888606,130.2888606,132.1365225,0,1.8427553,,,,,,,,,,,,,,,,rvrvrcr,1,2024-11-22_13h13.40.052,environmental_priming,2024.1.5,None,2024-11-22 13h13.52.589029 +0530
,"Delhi's air quality continues to deteriorate, with recent spikes reaching hazardous levels. The city is frequently engulfed in toxic smog, leading to severe respiratory issues and other health problems for millions of residents.",,,,,,,0,5,5,5,,,,,132.1609394,,,,,,,,,,,,,,,,132.1368286,132.1609394,132.1609394,132.1609394,134.3701828,0,2.2048653,,,,,,,,,,,,,,,,rvrvrcr,1,2024-11-22_13h13.40.052,environmental_priming,2024.1.5,None,2024-11-22 13h13.52.589029 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.3703483,134.3836861,134.3836861,157.4612668,space,23.0638259,None,,,,,,,,,rvrvrcr,1,2024-11-22_13h13.40.052,environmental_priming,2024.1.5,None,2024-11-22 13h13.52.589029 +0530
,,images/A_apple.png,images/B_Apple.png,,,,,,,,,0,0,0,0,157.5654859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.4667885,157.5654859,157.5654859,157.5654859,179.3036756,right,21.7254845,None,rvrvrcr,1,2024-11-22_13h13.40.052,environmental_priming,2024.1.5,None,2024-11-22 13h13.52.589029 +0530
,,images/A_bottle.png,images/B_bottle.png,,,,,,,,,0,1,1,1,179.3651371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.3046408,179.3651371,179.3651371,179.3651371,186.340016,right,6.9708132,None,rvrvrcr,1,2024-11-22_13h13.40.052,environmental_priming,2024.1.5,None,2024-11-22 13h13.52.589029 +0530
,,images/A_cloth.png,images/B_cloth.png,,,,,,,,,0,2,2,2,186.3887493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.3409181,186.3887493,186.3887493,186.3887493,189.3081137,right,2.9017357,None,rvrvrcr,1,2024-11-22_13h13.40.052,environmental_priming,2024.1.5,None,2024-11-22 13h13.52.589029 +0530
,,images/A_detergent.png,images/B_detergent.png,,,,,,,,,0,3,3,3,189.3506758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.3090177,189.3506758,189.3506758,189.3506758,193.2258951,left,3.8628469,None,rvrvrcr,1,2024-11-22_13h13.40.052,environmental_priming,2024.1.5,None,2024-11-22 13h13.52.589029 +0530
,,images/A_facewash.png,images/B_facewash.png,,,,,,,,,0,4,4,4,193.2694307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.226746,193.2694307,193.2694307,193.2694307,196.377647,left,3.1052583,None,rvrvrcr,1,2024-11-22_13h13.40.052,environmental_priming,2024.1.5,None,2024-11-22 13h13.52.589029 +0530
,,images/A_Light_Bulb.png,images/B_Light_Bulb.png,,,,,,,,,0,5,5,5,196.4281451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.3784824,196.4281451,196.4281451,196.4281451,201.2451808,left,4.8138889,None,rvrvrcr,1,2024-11-22_13h13.40.052,environmental_priming,2024.1.5,None,2024-11-22 13h13.52.589029 +0530
,,images/A_shopping.png,images/B_shopping.png,,,,,,,,,0,6,6,6,201.2833227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.24564,201.2833227,201.2833227,201.2833227,203.8297366,left,2.5352958,None,rvrvrcr,1,2024-11-22_13h13.40.052,environmental_priming,2024.1.5,None,2024-11-22 13h13.52.589029 +0530
,,images/A_toothpaste.png,images/B_toothpaste.png,,,,,,,,,0,7,7,7,203.8827637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.8302653,203.8827637,203.8827637,203.8827637,210.8663959,right,6.9798347,None,rvrvrcr,1,2024-11-22_13h13.40.052,environmental_priming,2024.1.5,None,2024-11-22 13h13.52.589029 +0530
,,images/A_transport.png,images/B_transport.png,,,,,,,,,0,8,8,8,210.9151516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.8673027,210.9151516,210.9151516,210.9151516,213.3170967,left,2.3966713,None,rvrvrcr,1,2024-11-22_13h13.40.052,environmental_priming,2024.1.5,None,2024-11-22 13h13.52.589029 +0530
